05BN012,Bow River near the Mouth
,
Date,Natural Mean Flows Extended (m3/s)
1912-01-01,11.2
1912-01-08,21.7
1912-01-15,28.2
1912-01-22,29.9
1912-01-29,34.9
1912-02-05,33.8
1912-02-12,35.7
1912-02-19,35.6
1912-02-26,34.2
1912-03-04,29
1912-03-11,26.3
1912-03-18,27
1912-03-25,41.2
1912-04-01,89.9
1912-04-08,85.9
1912-04-15,76
1912-04-22,58.5
1912-04-29,70.7
1912-05-06,100.6
1912-05-13,122.8
1912-05-20,203
1912-05-27,204.3
1912-06-03,139.1
1912-06-10,166.4
1912-06-17,607.7
1912-06-24,404.9
1912-07-01,317.4
1912-07-08,454.6
1912-07-15,457.3
1912-07-22,466
1912-07-29,383.4
1912-08-05,286
1912-08-12,226.8
1912-08-19,281.9
1912-08-26,318.8
1912-09-02,229
1912-09-09,201.1
1912-09-16,181.4
1912-09-23,151.9
1912-09-30,129.1
1912-10-07,124.9
1912-10-14,123.4
1912-10-21,121.7
1912-10-28,105.2
1912-11-04,96
1912-11-11,91.7
1912-11-18,87.1
1912-11-25,60.1
1912-12-02,44.8
1912-12-09,34
1912-12-16,29.4
1912-12-23,33.2
1913-01-01,28.8
1913-01-08,25.7
1913-01-15,18.4
1913-01-22,42.1
1913-01-29,45.5
1913-02-05,36.5
1913-02-12,45.3
1913-02-19,49.7
1913-02-26,43.5
1913-03-05,40.9
1913-03-12,52.5
1913-03-19,44.6
1913-03-26,42.3
1913-04-02,37
1913-04-09,169.1
1913-04-16,164.5
1913-04-23,97.2
1913-04-30,71
1913-05-07,70.6
1913-05-14,147.2
1913-05-21,129.4
1913-05-28,264.4
1913-06-04,380.3
1913-06-11,472.8
1913-06-18,396.5
1913-06-25,438.4
1913-07-02,398.5
1913-07-09,291.6
1913-07-16,211.8
1913-07-23,227.9
1913-07-30,218.1
1913-08-06,243.3
1913-08-13,325.4
1913-08-20,226.9
1913-08-27,187
1913-09-03,202.9
1913-09-10,175.4
1913-09-17,120.3
1913-09-24,114.8
1913-10-01,98
1913-10-08,93.4
1913-10-15,108.3
1913-10-22,107.2
1913-10-29,83.4
1913-11-05,81.8
1913-11-12,62.5
1913-11-19,87.7
1913-11-26,72
1913-12-03,71.2
1913-12-10,73
1913-12-17,47.3
1913-12-24,48.9
1914-01-01,71.8
1914-01-08,60.9
1914-01-15,47.8
1914-01-22,29.1
1914-01-29,25.9
1914-02-05,26.3
1914-02-12,31.8
1914-02-19,30
1914-02-26,32
1914-03-05,50.8
1914-03-12,90.4
1914-03-19,88.8
1914-03-26,90.4
1914-04-02,60.5
1914-04-09,82.7
1914-04-16,72.7
1914-04-23,74.7
1914-04-30,89.6
1914-05-07,120.6
1914-05-14,178.8
1914-05-21,224.9
1914-05-28,240.4
1914-06-04,356.4
1914-06-11,346.8
1914-06-18,407.4
1914-06-25,323
1914-07-02,311.8
1914-07-09,326.8
1914-07-16,296.5
1914-07-23,204.7
1914-07-30,154.5
1914-08-06,154.2
1914-08-13,152.5
1914-08-20,136.5
1914-08-27,122.5
1914-09-03,103.7
1914-09-10,76.2
1914-09-17,91.7
1914-09-24,90.2
1914-10-01,95.6
1914-10-08,94.7
1914-10-15,112
1914-10-22,109.1
1914-10-29,86
1914-11-05,68.1
1914-11-12,61.8
1914-11-19,67.7
1914-11-26,66
1914-12-03,38.5
1914-12-10,20
1914-12-17,24.5
1914-12-24,31.9
1915-01-01,39.3
1915-01-08,41.7
1915-01-15,34.8
1915-01-22,32.3
1915-01-29,34.7
1915-02-05,37.5
1915-02-12,35.2
1915-02-19,37.2
1915-02-26,37.8
1915-03-05,38.3
1915-03-12,42.8
1915-03-19,224.3
1915-03-26,174.5
1915-04-02,103.2
1915-04-09,36.2
1915-04-16,35.4
1915-04-23,58
1915-04-30,109.2
1915-05-07,238.3
1915-05-14,386
1915-05-21,283
1915-05-28,330.5
1915-06-04,363.4
1915-06-11,348.8
1915-06-18,480.7
1915-06-25,993.3
1915-07-02,727.8
1915-07-09,749.9
1915-07-16,907
1915-07-23,555.1
1915-07-30,576.6
1915-08-06,377.6
1915-08-13,279.2
1915-08-20,384.3
1915-08-27,244.7
1915-09-03,206.5
1915-09-10,180.8
1915-09-17,146.8
1915-09-24,159.9
1915-10-01,126.4
1915-10-08,124.1
1915-10-15,105.1
1915-10-22,96.2
1915-10-29,97.1
1915-11-05,85.8
1915-11-12,54.1
1915-11-19,58.7
1915-11-26,66.9
1915-12-03,53.4
1915-12-10,44.8
1915-12-17,47
1915-12-24,37
1916-01-01,27.2
1916-01-08,32.3
1916-01-15,32.5
1916-01-22,32.1
1916-01-29,39
1916-02-05,41.8
1916-02-12,76
1916-02-19,61.2
1916-02-26,44.9
1916-03-04,33.7
1916-03-11,37.2
1916-03-18,88.8
1916-03-25,97.7
1916-04-01,93.6
1916-04-08,110.3
1916-04-15,90.2
1916-04-22,82.9
