06AG006,Oldman River near the Mouth
,
Date,Natural Mean Flows Extended (m3/s)
1912-01-01,26.1
1912-01-08,26.6
1912-01-15,25.8
1912-01-22,26.7
1912-01-29,27.3
1912-02-05,26
1912-02-12,25.6
1912-02-19,25.5
1912-02-26,22.7
1912-03-04,20.5
1912-03-11,20.9
1912-03-18,21.8
1912-03-25,140.1
1912-04-01,115.2
1912-04-08,92.9
1912-04-15,104.7
1912-04-22,102.5
1912-04-29,105.5
1912-05-06,127.7
1912-05-13,237.1
1912-05-20,330.7
1912-05-27,290.4
1912-06-03,211
1912-06-10,219.2
1912-06-17,296.9
1912-06-24,214.3
1912-07-01,210.4
1912-07-08,196.9
1912-07-15,201.3
1912-07-22,200.4
1912-07-29,156.8
1912-08-05,125.5
1912-08-12,93.1
1912-08-19,71.6
1912-08-26,59.2
1912-09-02,56.9
1912-09-09,59.5
1912-09-16,53.5
1912-09-23,52.7
1912-09-30,44.6
1912-10-07,42.1
1912-10-14,43.4
1912-10-21,49.5
1912-10-28,55.8
1912-11-04,49.9
1912-11-11,56.1
1912-11-18,59.3
1912-11-25,42.8
1912-12-02,35.9
1912-12-09,32.7
1912-12-16,30.1
1912-12-23,27
1913-01-01,23.7
1913-01-08,18
1913-01-15,16
1913-01-22,15.3
1913-01-29,13.2
1913-02-05,11.1
1913-02-12,11.2
1913-02-19,13
1913-02-26,12.8
1913-03-05,13.3
1913-03-12,14.3
1913-03-19,13.5
1913-03-26,14.2
1913-04-02,56.9
1913-04-09,151.1
1913-04-16,185.8
1913-04-23,187.6
1913-04-30,144.2
1913-05-07,132.2
1913-05-14,204.5
1913-05-21,314.7
1913-05-28,645.8
1913-06-04,571.2
1913-06-11,486
1913-06-18,328.5
1913-06-25,359.6
1913-07-02,291.2
1913-07-09,201.6
1913-07-16,137
1913-07-23,120.9
1913-07-30,117.4
1913-08-06,122.9
1913-08-13,137.3
1913-08-20,95.5
1913-08-27,83.1
1913-09-03,83.4
1913-09-10,70.5
1913-09-17,54
1913-09-24,51.4
1913-10-01,53.5
1913-10-08,57.2
1913-10-15,70.9
1913-10-22,69.2
1913-10-29,62.5
1913-11-05,56
1913-11-12,50.4
1913-11-19,48.9
1913-11-26,44.3
1913-12-03,34.4
1913-12-10,32.8
1913-12-17,24.6
1913-12-24,13.1
1914-01-01,20
1914-01-08,21.4
1914-01-15,19.9
1914-01-22,18
1914-01-29,17.2
1914-02-05,16.3
1914-02-12,16.1
1914-02-19,17.3
1914-02-26,23.3
1914-03-05,33.2
1914-03-12,41.3
1914-03-19,38.5
1914-03-26,29.4
1914-04-02,48.7
1914-04-09,61.2
1914-04-16,113.2
1914-04-23,152.8
1914-04-30,181.2
1914-05-07,228.3
1914-05-14,291.5
1914-05-21,302.2
1914-05-28,240.6
1914-06-04,301.8
1914-06-11,207.6
1914-06-18,257.7
1914-06-25,200.1
1914-07-02,177.9
1914-07-09,153.6
1914-07-16,123.8
1914-07-23,81.6
1914-07-30,69.8
1914-08-06,61
1914-08-13,50.5
1914-08-20,87.1
1914-08-27,69.2
1914-09-03,52.5
1914-09-10,48.8
1914-09-17,48.4
1914-09-24,69.8
1914-10-01,71.6
1914-10-08,86.4
1914-10-15,165.5
1914-10-22,143.1
1914-10-29,97.5
1914-11-05,107.8
1914-11-12,80.1
1914-11-19,76.9
1914-11-26,70.3
1914-12-03,42
1914-12-10,21.4
1914-12-17,24
1914-12-24,33.1
1915-01-01,35.1
1915-01-08,30
1915-01-15,25.3
1915-01-22,21.6
1915-01-29,19.3
1915-02-05,20.7
1915-02-12,20.9
1915-02-19,20
1915-02-26,19.6
1915-03-05,18.8
1915-03-12,31.1
1915-03-19,140.6
1915-03-26,68.1
1915-04-02,80.1
1915-04-09,71
1915-04-16,105
1915-04-23,132.1
1915-04-30,213.9
1915-05-07,284.4
1915-05-14,378.4
1915-05-21,316.8
1915-05-28,286
1915-06-04,414.1
1915-06-11,383.6
1915-06-18,460.9
1915-06-25,516.3
1915-07-02,387.2
1915-07-09,217.9
1915-07-16,183.4
1915-07-23,195.8
1915-07-30,276.4
1915-08-06,166
1915-08-13,128.1
1915-08-20,154.6
1915-08-27,94.3
1915-09-03,102.7
1915-09-10,95.8
1915-09-17,95
1915-09-24,106.1
1915-10-01,99.6
1915-10-08,119
1915-10-15,108.7
1915-10-22,95
1915-10-29,92
1915-11-05,82.9
1915-11-12,62.1
1915-11-19,47
1915-11-26,34
1915-12-03,31.7
1915-12-10,27
1915-12-17,25.3
1915-12-24,25.9
1916-01-01,24.5
1916-01-08,20.1
1916-01-15,24
1916-01-22,22.9
1916-01-29,19.8
1916-02-05,20.8
1916-02-12,96.4
1916-02-19,192.8
1916-02-26,75.3
1916-03-04,57.1
1916-03-11,184.5
1916-03-18,127.1
1916-03-25,99.3
1916-04-01,99.9
1916-04-08,106.5
1916-04-15,117.2
